,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
HFBL,HFBL,"Home Federal Bancorp, Inc. of Louisiana",,,,,,
HFFG,HFFG,HF Foods Group Inc.,,,,,,
HIHO,HIHO,Highway Holdings Limited,,,,,,
HNNA,"Hennessy Advisors, Inc.",HNNA,8.0,Financial Services,58092000,6.2256813,0.1266,0.087740004
HOFV,HOFV,Hall of Fame Resort &amp; Entertainment Company,,,,,,
HOTH,HOTH,"Hoth Therapeutics, Inc.",,,,,,
HQI,HQI,"HireQuest, Inc.",,,,,,
HROW,HROW,"Harrow Health, Inc.",,,,,,
HRTX,HRTX,"Heron Therapeutics, Inc.",,,,,,
HSKA,HSKA,Heska Corporation,,,,,,
HSTO,HSTO,Histogen Inc.,,,,,,
HUGE,HUGE,FSD Pharma Inc.,,,,,,
HVBC,HVBC,"HV Bancorp, Inc.",,,,,,
HYAC,HYAC,Haymaker Acquisition Corp. II,,,,,,
HYMC,HYMC,Hycroft Mining Holding Corporation,,,,,,
HYRE,HYRE,HyreCar Inc.,,,,,,
ICAD,ICAD,icad inc.,,,,,,
ICCC,ICCC,ImmuCell Corporation,,,,,,
ICCH,"ICC Holdings, Inc.",ICCH,11.25,Financial Services,37166736,16.841318,0.032980002,0.00898
IDEX,IDEX,"Ideanomics, Inc.",,,,,,
IDRA,IDRA,"Idera Pharmaceuticals, Inc.",,,,,,
IDXG,IDXG,"Interpace Biosciences, Inc.",,,,,,
IEA,IEA,"Infrastructure and Energy Alternatives, Inc.",,,,,,
IFMK,IFMK,iFresh Inc.,,,,,,
IGIC,IGIC,International General Insurance Holdings Ltd.,,,,,,
IKNX,IKNX,Ikonics Corporation,,,,,,
IMAC,IMAC,"IMAC Holdings, Inc.",,,,,,
IMBI,IMBI,"iMedia Brands, Inc.",,,,,,
IMRN,IMRN,Immuron Limited,,,,,,
IMTX,IMTX,Immatics N.V.,,,,,,
IMUX,IMUX,"Immunic, Inc.",,,,,,
IMV,IMV,IMV Inc.,,,,,,
IMXI,IMXI,"International Money Express, Inc.",,,,,,
INMB,INMB,INmune Bio Inc.,,,,,,
INSE,INSE,"Inspired Entertainment, Inc.",,,,,,
INSU,INSU,Insurance Acquisition Corp.,,,,,,
INTG,INTG,The Intergroup Corporation,,,,,,
INVE,INVE,"Identiv, Inc.",,,,,,
IPDN,IPDN,"Professional Diversity Network, Inc.",,,,,,
IPWR,IPWR,Ideal Power Inc.,,,,,,
IRMD,IRMD,iRadimed Corporation,,,,,,
IROQ,"IF Bancorp, Inc.",IROQ,16.0,Financial Services,51846080,13.300084,0.048979998,0.0058
ISNS,"Image Sensing Systems, Inc.",ISNS,3.51,Technology,18714618,2.8102484,0.45626998,0.048130002
ITI,ITI,"Iteris, Inc.",,,,,,
ITMR,ITMR,Itamar Medical Ltd.,,,,,,
IZEA,IZEA,"IZEA Worldwide, Inc.",,,,,,
JAN,JAN,JanOne Inc.,,,,,,
JCTCF,Jewett,JCTCF,7.0,Basic Materials,24368120,15.02146,0.09191,0.06885
JFK,JFK,8i Enterprises Acquisition Corp,,,,,,
JRSH,"Jerash Holdings (US), Inc.",JRSH,4.75,Consumer Cyclical,53793752,8.333333,0.12322,0.07561
JVA,JVA,"Coffee Holding Co., Inc.",,,,,,
JYNT,The Joint Corp.,JYNT,13.99,Healthcare,195058368,63.590908,0.70838,0.05032
KBSF,KBSF,KBS Fashion Group Limited,,,,,,
KERN,KERN,Akerna Corp.,,,,,,
KIN,KIN,"Kindred Biosciences, Inc.",,,,,,
KINS,KINS,"Kingstone Companies, Inc",,,,,,
KOPN,KOPN,Kopin Corporation,,,,,,
KOSS,KOSS,Koss Corporation,,,,,,
KRMD,KRMD,"Repro Med Systems, Inc.",,,,,,
KTOVW,KTOVW,Kitov Pharma Ltd.,,,,,,
KZIA,KZIA,Kazia Therapeutics Limited,,,,,,
LACQ,LACQ,Leisure Acquisition Corp.,,,,,,
LATN,LATN,Union Acquisition Corp. II,,,,,,
LAZY,LAZY,"Lazydays Holdings, Inc.",,,,,,
LCA,LCA,"Landcadia Holdings II, Inc.",,,,,,
LCNB,LCNB Corporation,LCNB,14.44,Financial Services,187371984,9.562914,0.085389994,0.01163
